"","x"
"227","랑종별점 - 총 10점 중4너무 재미없어서.. 뭘 선택해야할지몰라서 연출 선택했다. 연출도 너무 구리다. 어지러운것도 작작해야지 진짜 토나올뻔. 무섭게느껴지는게 아니라 걍 힘들고.... 엑소시즘도 너무 뻔한것들 다 넣어놔서... 밍이 혼자 난리나는데 그것도 사실..존나 재미없음.. 나름 퇴마 몇일 전. 딱딱딱 보여주려고한거같은데.. 진짜 존나재미없음...ㅠ 신고"
"228","랑종별점 - 총 10점 중10억지 신파도 없고, 극중 어두워져가는 분위기도 잘 연출함. 절대 이따위로 저평가받을 영화는 아님 신고"
"229","랑종별점 - 총 10점 중9개무서움기억에 남는 공포영화 신고"
"230","랑종별점 - 총 10점 중2새벽에 봤는데 찝찝한기분만듬 신고"
"231","랑종별점 - 총 10점 중9이정도면 수작이란 생각이드네요 선과악의대립관계인데 이모와조카라는게 신선했어요 보기 껄끄러운장면 제외하곤 여름과어울리는 공포작..! 신고"
"232","랑종별점 - 총 10점 중8영화본지 1주일 지났는데 잠자기 전에 아직도 생각남 ㅋㅋ 물론 공포영화 아주 못 보는 쫄보기준에서 ..? 나릴야 언니없었으면 망했을듯 … ㅎㅎ 난 오히려 결말부분보단 밍이 변해가는 중반부분이 더 무서웠음 cctv장면은 소리만 들어도 무서움 그래사 아예 안봄ㅋㅋ ㅠ 믿음에 관해 생각하게 되는 영화 신고"
"233","랑종별점 - 총 10점 중2개연성이 너무 별로다아 죄없는 댕댕이는 왜 건드리냐 신고"
"234","랑종별점 - 총 10점 중1도대체 뭘 말 하려는지 모르겠고, 기분만 더러워진 영화네요. 온갖 트리거 올 법한 영상이 많이 나옵니다. 굳이 안 보는 걸 추천합니다. 신고"
"235","랑종별점 - 총 10점 중10아니 평점이 낮아서 재미없을줄 알았는데 겁나 재밌어요ㅠㅠ 진짜 왜 평점이 낮은지 나원참... 신고"
"236","랑종별점 - 총 10점 중1쓰레기입니다 정대 노노노 신고"
"237","랑종별점 - 총 10점 중1멀미나서 제대로 보지도 못했다.자극적이기만하고 정서적 공포는 전혀 없음. 볼때는 역겹고 자기 전엔 생각 안 남 신고"
"238","랑종별점 - 총 10점 중10뎃글로 구라치지마... 존나 무서웠다... 본지 5일 지났는데 지금도 생각나서 무섭고 ....스토리 의문점 들어서 유튜브 보려고해도 영상에 무서운 장면 넣어놔서 아직도 못보고 있다.. 이 영화 최대단점은 후반부에 공포영화를 매일 보는 사람이 아니라면 너무 충격받을 만한 장면을 많이 넣었다는것이다... 어쨋든 공포영화로서는 충실했으니 별5개 주는게 맞다 ps : 대체 이 영화가 안무섭고 지루할정도면 얼마나 끔칙한 영상과 폭력적인걸  봐야하는거냐??? 신고"
"239","랑종별점 - 총 10점 중8심지가 굳지 않으면 마귀의 유혹에 빠질 수 밖에 없는 현실을 대변한 듯~ 신고"
"240","랑종별점 - 총 10점 중8사람들이 동물? 좀비처럼 되는 것빼고는 좋았음 신고"
"241","랑종별점 - 총 10점 중1안무서움곡성이 더 무서웟음엑소시스트 파라노말액티비티 등다 섞어논 신고"
"242","랑종별점 - 총 10점 중1신고"
"243","랑종별점 - 총 10점 중8태국 특유의 잉잉거리는 하이톤과 악귀들이 사람몸에 들어간 뒤에 기분 좋은지 계속 웃길래 보다 보면 좀 우깁니다. 신고"
"244","랑종별점 - 총 10점 중1밍 밍밍!밍칭년 연기잘해 신고"
"245","랑종별점 - 총 10점 중8신고"
"246","랑종별점 - 총 10점 중1다큐라고 처음 시작하더니 3류 좀비영화로 마무리.공포물인데 보는 중간 잠이 올 정도로 스릴 제로.추천  안합니다 신고"
"247","랑종별점 - 총 10점 중1영화 시작부터 계속 화면 흔들어재껴서 ㅈㄴ 토쏠림재미없는건 둘째치고 그냥 화밖에 안난다영화 보는 내내 토쏠려서멀미 하고싶다?그럼 보셈진짜 아무리 재미없는 영화도 항상 끝까지는 보고 나왔는데 도저히 토쏠려서 중간에 나왔다진짜 기분드릅네 신고"
"248","랑종별점 - 총 10점 중1곡성을 기대하지 마세요. 그냥 찜찜하기만 한 영화. 신고"
"249","랑종별점 - 총 10점 중2우리나라 무당얘기를 나라만 바꾼것좀비인지 귀신인지 모르겠고나홍진감독이 무섭다고해서 믿었는데 배신감이듦 이제 나홍진껀 다신 안볼듯돈내고본게 아깝다30분쯤 봤을때 나갈까하다 뭐가더있겠지 50분쯤 나갈까 하다 120분짜리니까 좀만 기다리자 했는데 있는건 똥이었음스토리도 뻔하고 음악, 영상미 제대로 된거 하나없고 연기만 괜차늠 신고"
"250","랑종별점 - 총 10점 중10완전 굿 오랜만에 영화 몰입해서 재밌게 봄 신고"
"251","랑종별점 - 총 10점 중10재밌음 악평은니들이만들어 신고"
"252","랑종별점 - 총 10점 중2비겁한놈 감독이란 놈이 자기 명성에 금간다고 이름 쏙 빼놓은 꼬라지봐라 어휴 신고"
"253","랑종별점 - 총 10점 중8여배우 연기력은 좋지만 전체 스토리가 사실 기괴함.. 굳이 이렇게까지 만들어야했을까? 신고"
"254","랑종별점 - 총 10점 중2재미없고 안 무서움. B급 쓰레기 좀비물. 이런 감독들이 이런 쓰레기물을 만들리 없어 의미부여하며 해석해대는데 애로물도 의미부여하며 해석하면 아름다움. 신고"
"255","랑종별점 - 총 10점 중10평 안좋아서 걱정하고 봤는데 기대 이상이여서 좋았어요. 여주 연기력 짱 신고"
"256","랑종별점 - 총 10점 중7스토리나 연출, 갑툭튀지점이 뻔해서 참신함이랑은 거리가 멀고 논란이 되는 억지스러운 부분들도 있어서 보기 불편할 수 있어요. 그래도 막막한 상황에서 오는 공포가 잘 표현된 것 같아서 볼만하다고 생각해요. 민속적인 느낌의 배경음악들도 좋았구요. 신고"
"257","랑종별점 - 총 10점 중51인칭 영상컨셉 의도는 알겠으나 카메라를 하도 흔들어대서 멀미가 엄청남 걸음걸이만큼 울렁울렁 흔들흔들 속안좋아서 기분 안좋았음 멀미 심한분 보면 안됨 신고"
"258","랑종별점 - 총 10점 중10공포영화 매니아로서 그냥저냥 괜찮게 봤음. 고구마같은 내용이 다소 있긴 한데 그거 빼고는 재밌었음 '역겹다, 불편하다' 라는 느낌은 잘 못받았음 별점 1~2점 받을 정도의 악평을 받을 영화는 아닌듯. 신고"
"259","랑종별점 - 총 10점 중8곡성은 뽀로로 수준임 초반엔 이게 뭐지 공포영화 맞나 싶을 정도로 지루하고 재미없어서 이게 왜 청불이지라고 생각함. 중반으로 갈수록 몸이 점점 경직되고 계속놀라서 목에 담까지 옴.. 그리고 자연스럽게 손가락이 눈을가리게 되네요 옆에 어떤여자분이 머리카락으로 눈을가리면서 보고잇어서 그거보고 더놀람.. 시시하다고하는 사람들은 눈을.너무가려서 못봐서 그런듯.. 신고"
"260","랑종별점 - 총 10점 중1그냥 찝찝하다...여주이름처럼 밍밍하다...공포보단->기괴,잔인함이 맞는거같음 영화가 끝나고는 해석하기 나름인 영화,, 신고"
"261","랑종별점 - 총 10점 중8공포영화 싫어하면 굳이 보지를 마라. 평점 낮추지 말고. 싫어하면서 도대체 왜 보냐? 코시국에. 신고"
"262","랑종별점 - 총 10점 중7배우들 열연이 돋보였어요 신고"
"263","랑종별점 - 총 10점 중7도대체 자꾹 뭐가 불편하다는건지....한국사람들 오버하는건 전염되나? 한두명이 불편하다고하니 너도나도 죄다불편하대...다른공포영화에서는 피안나오고 사람 안죽나?  영화보고또 지인들한테 불편하다고 떠들고다니겠지 무슨 영화평론가도아니고 그냥 여름에보는 공포영화고 곡성에서 결말과 흡사함  제발 오바들좀 떨지마시고. 신고"
"264","랑종별점 - 총 10점 중2진짜 개같은 영화 보면서 뛰쳐나가고싶음 나홍진는 반성해라  페이크다큐 앞 1시간 개지루 본격적인 스토리 뒤 1시간 그냥 빙의되서 물어뜯음 사실성 떨어지는 분장수준 태국배우들 연기 발연기 콩트도 이거보다 낫다ㅋ시간남아돌면추천 신고"
"265","랑종별점 - 총 10점 중2마지막에 카메라맨은 뭔 또 그리 많고 잘 죽지도 않는지. 그냥 빨리 OOO 영화 끝났으면 하눈 맘뿐 신고"
"266","랑종별점 - 총 10점 중1시간되돌아가면 안볼거임 답답함 트롤들 밖에 없음 신고"
"267","랑종별점 - 총 10점 중2신고"
"268","랑종별점 - 총 10점 중10영상미 너무 무서워요 오컬트 작품중 젤무서움...집와서 영화 해석해보니까 더무섭네여 신고"
"269","랑종별점 - 총 10점 중10신선하고 몰입감 있네요평점이 너무 저평가 된거같아요 신고"
"270","랑종별점 - 총 10점 중7영화자체의 스토리는 나쁘지 않고 초반 연출도 좋지만 아쉬운 점은 조금씩 있음..개연성이 약간 떨어지고 특히 자극적인 장면(19금, 잔인한 장면 등)은 매우 불필요했다고 생각. 하지만 밍의 연기는 정말 압도적임. 신고"
"271","랑종별점 - 총 10점 중1기대보다 별로였던 영화 신고"
"272","랑종별점 - 총 10점 중6홍진이형 미안한데 곡성이 훨씬 나았다. 신고"
"273","랑종별점 - 총 10점 중2돈아깝다 친구랑 봤는데 영화값내고 멀미만 하다나옴 신고"
"274","랑종별점 - 총 10점 중2영화보다가 나가고싶은...정말 돈주고 보기 아까운 영화였어요. 보기전 재미는없고 무섭기만하면 어쩌냐고 친구랑 농담으로 얘기했는데 관람하고나니 재미없고 무섭지도않고 보자고한 친구한테 뭐라했네요. 신고"
"275","랑종별점 - 총 10점 중8아직 추워 ㅠㅠ ㅎㅎ 인간의 나약함에 대해 또 한번 잘 표현한 영화 신고"
"276","랑종별점 - 총 10점 중10여행으로 알 수 없는 태국 지역 변두리의 문화와 사람들의 삶을 간접적으로 엿볼수 있었고 무엇보다 연기자 여러분의 혼을 담은 연기는 실제로 저분들이 일반인으로 보이게 하는 착각을 주심.근래 아시아 오컬트 무비의 새로운 길 제시.곡성보다 훨씬 재밌음 신고"
"277","랑종별점 - 총 10점 중5신고"
"278","랑종별점 - 총 10점 중6전반부까진 좋았는데 후반부에 가선.. 조금 지루하고 억지로 놀라게 하려는 모습이 강합니다 신고"
"279","랑종별점 - 총 10점 중10신고"
"280","랑종별점 - 총 10점 중1곡성만든 감독아니지?  맞다면 사기지 이게..별 하나도 아깝구먼 신고"
"281","랑종별점 - 총 10점 중1최악의 영화 기괴하고 더럽고 잔인하고 관객에게 무엇을 말하고자 하는지 전달도 안된다. 으 시간 아까움 보는 내내 이걸 왜 보러왔나 시계만 쳐다보고있었음 신고"
"282","랑종별점 - 총 10점 중1아진짜 ㅅ  그마이무섭다고 시사회간사람들이 하는 쌩쑈에 넘어가 같이보자고한 친구한테 미안해서 밥까지쐇네 OOO 신고"
"283","랑종별점 - 총 10점 중1아 돈 아깝다 바이럴마케팅 오진다 신고"
"284","랑종별점 - 총 10점 중2해석이 더 재미있는 영화 신고"
"285","랑종별점 - 총 10점 중2평점에 왜 토할꺼 같다는줄 알겠음.옛날 스포같은 게임 좋아하시는 분이라면 감당 가능. 저 같은 사람은 감당 안됨 ㅋ 카메라 진짜…개짜증 ㅠ 처음부터 끝까지 계속 흔들흔들 거려. 눈아프고 울렁울렁… 이런영화를 극장에서 보다니… 한심한 나…“파라노멀액티비티”+좀비영화 합친 거 같음.태국 무당 귀신 관심 있다면 한번쯤 볼만지만,딱 1시간 이후부터나 약간 고어물 스타일로 조금 볼만함. 중간에 깝툭 두번인가 괜찮았음.약 1시간30분 정도 되었을 때는 보다가 좀 졸림.그래도 눈 비비며 끝까지 봄.그 외숙모 때문에 퇴마의식 다 망함. 거기서 개짜증 ㅈㄴ 남. 머리없나… 답답 ㅋㅋ 결말같지 않은 결말이지만 그 좀비들이 어떻게 되는지는 설명 없음. 카메라맨들 다 OOO 끝 …칭찬은 실제 스토리처럼 만드느라 고생 했음.고생하샸습니다.. 신고"
"286","랑종별점 - 총 10점 중10잘봣습니다여기에 별점 낮게주는 년놈들은1만 주고 이런영화 보는것에 감사해라지 기분나쁘다고 욕을하냐.. 신고"
"287","랑종별점 - 총 10점 중6여성분들 마법의 그날에 절대 이영화 보지마세요 ㅜㅜ 신고"
"288","랑종별점 - 총 10점 중9한국사람들의 경우  태국 전통 귀신에 대해  생소하기 때문에, 첫 시청 때는 다소 이해가  안되는 부분이    중간중간 있음.  곡성이 그랬 듯,  한 번만 봐서 영화의 진가를 파악하기 힘듬. 기존 공포영화와 달리,  불쾌함을 통한 공포를 조성하는 영화.   배우들 연기도 좋음 신고"
"289","랑종별점 - 총 10점 중2무섭고 싶어서 공포영화본건데 안무섭고 그냥 그럼.. 신고"
"290","랑종별점 - 총 10점 중6영화관에서 봤는데 화면이 너무 많이 흔들려 머리가 어지러웠습니다. 또한 이런 점으로 인하여 덜 무서웠던 것도 있었던 것 같아요. 하지만, 배우들의 연기는 대단했어요 신고"
"291","랑종별점 - 총 10점 중6해석이나 잃고 댓글 다세요 그것도 모르면서 무슨 쓰레기다 재미없다 안 무섭다 솔직히 이 영화 보면서 눈 안감고 보는사람 없을듯 감동 장면은 눈꼽 때 만큼도 없지만 아직도 소름돋네 동물학대는 좀 그렇긴 하네.. ㅎㅁㅎ 신고"
"292","랑종별점 - 총 10점 중9사람들이 왜 욕하는 지 모르겠음 단순 서양 공포물을 생각해서 그런가.. 진짜 숨겨진 의미에 해석이 다양하게 되고 섬뜩한 무서움이 가득해서 많은 생각이 들게하는 영화였음 다만 페이크다큐형식을 후반부에서는 활용하지 않았으면 더 좋았을 것 같음 신고"
"293","랑종별점 - 총 10점 중1정말 밍밍함...곡성도 개인적으로 별로였지만 랑종은 더더욱... 끝나고나서 한참동안이나 느껴지는 이 불쾌함과 찝찝함은 먼지 잘모르겠네요.. 다큐라면서 카메라맨은 영화내내 주인공이 먼일이나든 자기가 당장 죽든말든 카메라를 손에 놓지 않고 자기를 죽이는 상대방의 얼굴을 끝까지 찍는 그 모습들은 참 할말이 없게 만드는 순간들이었습니다 신고"
"294","랑종별점 - 총 10점 중10평보고 그저그런가 했는데 무서워요.. 재밌게잘봤습니다 신고"
"295","랑종별점 - 총 10점 중10호불호가 갈릴수있는데 전 너무 잼있게 봐써요 평이 너무 안좋아서 고민하다가 봤는데 영화관에서 안봤음 후회할뻔 여주 연기는 신의경지 신고"
"296","랑종별점 - 총 10점 중6똑똑한 두명의 장군보다 한명의 무능한 장군이 낫다. 나폴레옹 보나파르트 신고"
"297","랑종별점 - 총 10점 중1별점 1점도 아까움 이딴거 돈주고 절대 안봄 다보고 나서 속도 안좋고 기분만 더러워서 보기 전으로 시간 돌리고 싶을정도 신고"
"298","랑종별점 - 총 10점 중2시간아까워요.내용이없어요.좀비물결말이없어요.곡성 비교대상이안돼요.그냥..이상한영화이게 왜?의문스러워요. 신고"
"299","랑종별점 - 총 10점 중4볼 만 했는데 마지막에 좀비영화로 바뀌면서 몰입 다깨짐 신고"
"300","랑종별점 - 총 10점 중1진짜 전개도 이상하고 재미도 없고뭘 본건지 모르겠어요 신고"
"301","랑종별점 - 총 10점 중1영화의 스토리와 핵심에 촛점을 맞췄다기 보다 카메라를 험하게 다루는 영상기법이 일품입니다. 보다가 속이 메스껍고 집중하기 힘들었습니다. 진짜인 척을 하나 사실은 모두 가짜이며 내용도 대단하지도 않으며 시간이 아깝습니다. 영화볼 시간에 잠을 주무시든지 음식을 드시는 것을 추천드립니다. 간곡히 말씀드립니다. 신고"
"302","랑종별점 - 총 10점 중1좀비 영화 인가요?.... 신고"
"303","랑종별점 - 총 10점 중10제 생각에 다들 타영화 댓글 알바들같네요진짜 이렇게 재밌는 공포영화를 변신 이후로 오랜만에 보네요 신고"
"304","랑종별점 - 총 10점 중10자꾸 생각나게 하는 불쾌한 서사와 스마트한 연출 신고"
"305","랑종별점 - 총 10점 중4그냥 난해함. 영화를 통해 하고자하는 애기가 무엇인지 감독이 뭘 하고싶은건지도 모르겠음.그냥 귀신관련영화인게 처음과끝인듯이건 공포물도 아니고 호러물도 아니고 그렇다고 뭐 다큐도 아니고....뭔지싶은데 신고"
"306","랑종별점 - 총 10점 중2공포영화치곤 너무 안무서웠어요그냥 웃음만 나오더라고요무서운거 못 보시는분들 공포영화 입문용으로 추천드립니다 :) 신고"
"307","랑종별점 - 총 10점 중1긴말안하겠습니다.0점이잇다면 0점 줫을거에요 신고"
"308","랑종별점 - 총 10점 중1Vj특공대 vs 랑종 = vj특공대 win 신고"
"309","랑종별점 - 총 10점 중8솔직히 이정도로 평점 박하게 받을 영화는 아니라고봅니다. 정말 잘만든 걸작은 아니지만 수작이라 생각해요. 카메라맨들의 어메이징한 프로정신만 빼면 다른 개연성 없다생각되는 부분들도 다양한 해석으로 이해가능한 수준이고, 개인적으로 정말 무섭게 봣습니다. 평점만 보고 판단하지 마시고 직접 보시고 판단하는걸 추천드립니다. 신고"
"310","랑종별점 - 총 10점 중4영상미 말곤 ㅂㄹ… 스토리 자체가 무섭단 생각은 전혀 안듭니다 신고"
"311","랑종별점 - 총 10점 중10굉장히 재밌어요 무서우면서ㅠ재밌어여 연출 좋음 신고"
"312","랑종별점 - 총 10점 중1잘 알지도 못하는 태국이라는 나라에 대한 막연한 이미지마저 불쾌하게 만들어버린 영화 신고"
"313","랑종별점 - 총 10점 중8시간가는줄모르고 몰입해서 봤음 후반부에 몰아치는 부분 전까지는 너무 재밌게 봐서 한 번 더 보고싶은 영화임 평점이 너무 낮은듯 신고"
"314","랑종별점 - 총 10점 중1귀신이 빙의가 되어 물면 좀비가 된다는 설정인거같은데. 보는 내내 몰입감 제로. 기괴함. 곡성은 재밌게 봤는데 이영화는 영화라기엔 많이 부족. 솔직하게 평을 주자면 극장용은 아니고 B급 비디오. 신고"
"315","랑종별점 - 총 10점 중1최악,,,나오고싶을때 나오세요 뒤로갈수록 일찍나갈걸 후회되니까..시간도 돈도 아까운영화 신고"
"316","랑종별점 - 총 10점 중1리뷰달라고 1점 평가했는데 이건 평가 자체가 아까운 영화임 곤지암 안봤는데 그거보다 조금 나은 수준일꺼 같다 진짜 희대에 개 쓰레기 영화임 보는 내내 이야기에 무언가에 빠져들겠지 모가 나오겠지 나오겠지 기대하면서 봤는데 기대를 저버리는 아주 역대급 ㅆㅡ레기 영화임 바이럴마케팅으로 개후드려 맞음 극찬한 사람들이 정상인지 내가 이상한건지는 모르겠는데 그냥 내가 영화관 가서 본것 중에 제일 ㅆㅡ레기였음 이건 진짜 개노답임 주관적으로 이 영화에 킬링은 어린아이를 산채로 쳐먹는 장면임 이거 보고 역겹고 더러워서 나갈라다가 꾹참음 아니 미개하다는걸 뛰어 넘어서 그딴 장면을 쳐 넣는 의미는 뭔지도 모르겠음 왜 굳이 살아있는 아이를 생으로 쳐먹는걸 왜 도대체 왜 넣은건지 설명 해줬으면 좋겠음 아이만 굳이 안죽으면 이상해서 그렇게 산채로 쳐먹는걸 넣은거라면 그 자체가 그냥 ㅆㅡ레기임 그냥 토악질 나옴 돈도 시간도 아까운데 내 이 더러운 기분과 이걸 보고 나에 뇌가 빡쳐해 분노조절을 못해서 화가 날꺼 같은 상황을 만든거 자체가 너무 개같음 그냥 쓰레기임 신고"
"317","랑종별점 - 총 10점 중6일단 보고나오면 기분나쁨.진짜 그냥 기분나쁨..후반부엔 갑분 좀비영화로 변신해서 당황스러움.해석찾아보니 뭐 개의영혼이 깃들여서 그렇다고 하는데 영화의 의도는 알것같으나 너무 괴이함그냥 꿈도 희망도 없는 스토리라 끝나고 집올때까지 기분이 나쁨.그냥 이게뭐야 기분나빠...뭐지..? 싶은영화 신고"
"318","랑종별점 - 총 10점 중8신내림을 거부한 자와 악마를 머금은 딸이 만든 공포물이다.공포물을 뒤 섞은 여러 시나리오는 알 수 없는 조화로 달려간다. 신고"
"319","랑종별점 - 총 10점 중10솔직히 평점이 낮을 정도는 아니에요.저는 재밌게 봤어요. 나홍진 감독님 만의 의미도 들어가있었구요. 아쉬운게 살짝 있다면 연출? 다큐 식으로 해서 그런지 마지막 부분에 카메라 영상으로 찍는게 좀 어색했네용 신고"
"320","랑종별점 - 총 10점 중1밍밍코로나아녀?ㅋ ㅋ ㅜㅜ 신고"
"321","랑종별점 - 총 10점 중10추격자 슈퍼아줌마를 뛰어넘는 빌런이 탄생했다 = 밍 외숙모 신고"
"322","랑종별점 - 총 10점 중1이 영화는 대체 뭘 보고싶어주고싶었던거냐 신고"
"323","랑종별점 - 총 10점 중10마지막 1시간은 정말 온몸에 힘이 들어가서 힘들었네요. 다큐멘터리 형식이라 더 힘들었던것 같아요.왠지 정말 이런일이 있을 수 있다는 생각에 소름이 가라앉지가 않네요 신고"
"324","랑종별점 - 총 10점 중4엥,,,, 내가 뭘 본거지 ,,, ? 신고"
"325","랑종별점 - 총 10점 중1무섭다 지린다 광고, 마케팅 오지게 하더니 까보니 맹탕이네 신고"
"326","랑종별점 - 총 10점 중1내가 진짜 재미없는것들도 재밌다고 생각하는 사람인데 이건 그냥 기괴만하고 완전 재미없음 시간 버린 느낌임….. 신고"
"327","랑종별점 - 총 10점 중1최악의 영화 입니다기승전결 다 괴기스럽고 과장광고 속지마세요 신고"
"328","랑종별점 - 총 10점 중10이게 별점이 낮은 이유는.. 별점을 높게 주려던 사람들은 이미 이세상 사람이 아니기 때문이다.. 곤지암이 제일 무서운 영화였는데 , 이제 곤지암은 택배분류하는 곤지암hub밖에 생각나지 않는다. 신고"
"329","랑종별점 - 총 10점 중2영화보고 이렇게 속안좋고 기분나쁘긴 처음..갈수록 억지스러운 스토리와 개연성없는 전개.잔인하고 기분나쁜 연출뿐인 그런 영화..전혀 무섭지도 않다 신고"
"330","랑종별점 - 총 10점 중1영화다보고 기분나쁜 영화는 처음;; 기괴하고 왜만든거야; 신고"
"331","랑종별점 - 총 10점 중10개개인의 차이가 있겠지만 나는 공포영화 중 단연 최고... 보고 난 후에는  어떤 장르인가 다시 생각하게 되는 영화 신고"
"332","랑종별점 - 총 10점 중2새벽에 보고 왔는데도 감흥이 없었네요.. 두 감독님의 다음 작품을 기대해봅니다.. 신고"
"333","랑종별점 - 총 10점 중1진짜 정말 자미없다카메라 앵글이 너무 흔들려서술먹고는 보지마세요 영화보면서 돈아깝다 생각드는게 처음이네요차라리 치킨시켜드세요,,, 신고"
"334","랑종별점 - 총 10점 중2아… 재미없어 진짜 최악의 영화중 탑3에 들듯… 신고"
"335","랑종별점 - 총 10점 중10모두에게추천드림..나만죽을수없다.... 신고"
"336","랑종별점 - 총 10점 중6태국판 엑소시스트 이긴 하지만그냥 기괴하다 라고 느낀게 전부..분위기가 이러하니 무서운건 당연한거고마지막은 좀 뇌절 같네요 신고"
"337","랑종별점 - 총 10점 중10아름다운 배경이과 습한 느낌이 너무 좋았고미스테리한 느낌의 도입부를 지나 중 후반부로 갈수록 몰아치는 공포가 ....휴..!!!!진짜 재미있게 봤다!!!! 신고"
"338","랑종별점 - 총 10점 중2와 OO ㅈㄴ 개노잼 개찐노잼 신고"
"339","랑종별점 - 총 10점 중8사람들 입에 오르내리는 요소가 보이긴 한다. 그렇지만 공포자체와 이야기를 이끌어 나가는 힘에 있어서는 나쁘지 않다고 생각한다. 신고"
"340","랑종별점 - 총 10점 중10신고"
"341","랑종별점 - 총 10점 중9저는 초중반부에 꽤나 몰입해서 재미있게 봤습니다. 다소 결말이 아쉽긴 하지만 재밌게 봤네요. 페이크다큐라는 영화인지 모르고 봤었는데, 초중반부는 실제로 촬영한 다큐 같았습니다. 신고"
"342","랑종별점 - 총 10점 중10시간가는줄 모르고 봄 영화보고나면 찝찝한... 신고"
"343","랑종별점 - 총 10점 중10공포영화 평점은 다 낮더라구요평점고민하지말고 보세요 재밌어요 기대한거보다 재밋름 신고"
"344","랑종별점 - 총 10점 중8공포영화 매니아로써 무서웠던 장면은 하나도 기억나지 않네요^^; 왜냐하면 삭 기절했거든요 신고"
"345","랑종별점 - 총 10점 중1연기는 괜찮았다 스토리도 나쁘지않고 근데... 카메라 무빙 최악 중 최악이다 영화 보자마자 헛구역질 한 영화는 이게 처음이자 마지막일듯ㅡㅡ 식사 후 2시간 뒤에 본건데도ㅠㅠ 화면이 너무 흔들려서 중간중간 헛구역질 하면서 보질않았다... 마지막쯤? 설명이 필요한 부분도 있는데 설마 랑종2 생각하고 이렇게 마무리한거 아니죠? 그 맘은 접어두시길.. 신고"
"346","랑종별점 - 총 10점 중6너무기대하게했음 밍 연기빼곤 다 별로였음 그냥 곡성 한 번 더 보는게 나을듯 밍! 밍! 짜증나고 역겨운장면도 너무많음 일단 무섭지가않음.. 공포아니냐고요 신고"
"347","랑종별점 - 총 10점 중1진짜 태어나서 본 영화중에 이게 제일 쓰레기다 다시는 나홍진 감독 영화 안볼거다시간낭비 돈낭비중간에 몇 명 나가던데 그때 나갔어야했다 신고"
"348","랑종별점 - 총 10점 중6일단 신인 여배우의 연기력에 박수를 침전하고자 하는 의미를 자세히 생각하면 그럴듯 해보이지만 후반부록 갈수록 헛웃음 나옴좀 덜 좀비스럽게 연출했으면 하는 아쉬움이 크다... 신고"
"349","랑종별점 - 총 10점 중1진정으로 공포 영화의 장래를생각한다면 이런 저질물은1점 정도가 딱이다..공포영화에 대한 예의다 신고"
"350","랑종별점 - 총 10점 중10솔직히 억까가 너무 많네요 이정도면 재밌습니다 신고"
"351","랑종별점 - 총 10점 중10난 개인적으로 재미있게봄~ 그성이며 기법이며 연기 모두 괜찮았음ㅎㅎ 신고"
"352","랑종별점 - 총 10점 중1리뷰는 태어나서 처음 남긴다…너무 열받아서 리뷰 남겨야 겟다…..아….귀에서 밍밍거린다…. 차라리 예고편을 돈내고 보는게 맘편했을걸,혹시나 해서 예고편을 다시 찾아 봤는데 이제 예고편 마저 노잼이다 신고"
"353","랑종별점 - 총 10점 중2원주민 공포만화에 나오는 강구가 간절하게 생각남. 신고"
"354","랑종별점 - 총 10점 중10아니 이게 안무섭다고? 신고"
"355","랑종별점 - 총 10점 중9공포영화 좋아하시면 추천드립니다 신고"
"356","랑종별점 - 총 10점 중1최대 명대사 : 밍~! 미잉~!! 신고"
"357","랑종별점 - 총 10점 중2곡성에서는 뭣이 중헌디?라는 명대사를 남겼지만 랑종은 머야? 밍밍밍 이거밖에 없음 신고"
"358","랑종별점 - 총 10점 중10나만 당할순없지..하하 신고"
"359","랑종별점 - 총 10점 중10재밌습니다. 단순 공포보다는 스토리, 기괴함, 배우들 연기에 초점을 두면 재밌습니다 신고"
"360","랑종별점 - 총 10점 중7공포영화를 보러갔다면 실망할것이다 불쾌하고 찝찝하고 역한영화이다 다만 연기력으로 커버를침 과연 나홍진과 셔터감독이라는 후광이 없었다면 이렇게 논란이 되었을까 한다 신고"
"361","랑종별점 - 총 10점 중6공포보다는 고어에 가까운 영화...자극적인 것 빼면 뭐 없네요.배우들 연기력에 별 3개 드립니다. 신고"
"362","랑종별점 - 총 10점 중10한국에서 절대 나올 수 없는 ㄹㅇ 수작 리얼다큐멘터리 오리엔탈엑소시즘 영화였습니다. 중간중간 나오는 풍경들이 빨리 다시 태국여행을 가고싶게 만들정도로 영상미가 너무 뛰어났습니다. 나홍진 짱짱맨 신고"
"363","랑종별점 - 총 10점 중10솔직히 이정도면 볼만한데..?재미있음 은근 무섭고 신고"
"364","랑종별점 - 총 10점 중1하....아니 진짜 개노잼... 시간낭비영화임 신고"
"365","랑종별점 - 총 10점 중1다 필요없고 일건 속이 메슥거림 카메라 수전증 극혐임 신고"
"366","랑종별점 - 총 10점 중1그냥 보지 않는 걸 추천함 돈아깝고 다른것 보다 멀미남. 화면 흔들리는 연출 좋은 데 너무 심함 제대로 보지도 못하고 내용도 뒤죽박죽 이거 작가는 하 정말 그냥 말을 할 필요가 없음 공포물이라는데 그냥 놀래키는거 몇번 끝 영화관에서 돈아깝다고 느끼고 저게 왜 좋은건지 모름 그리고 왜 진짜로 욕나오는 거 넣어서 청불만든거 짜증난다. 신고"
"367","랑종별점 - 총 10점 중10아 이게 공포영화다 곡성은 코미디 영화가 맞았다 신고"
