"","x"
"29","랑종별점 - 총 10점 중1뭐지…머리아프다 끝난 영화다큐형식이라 카메라 무빙도 계속 흔들리는게 너무 거슬리고내용이 없습니다 그냥… 신고"
"30","랑종별점 - 총 10점 중8생각보다 짜임새 있고 전 좋았는데요. 신고"
"31","랑종별점 - 총 10점 중1한줄평 간단함-최악, 이거보려고 돈낼바에 돈을 불태우길 추천.일단 제작진이 설마 아니겠지만 페이크다큐가 뭔지 모르는것같고시나리오에 개연성 몰입도 다 없는걸 본인들도 알았는지 쓸데없는 장면 자극적 장면만 덕지덕지 붙여서 더 조잡함.그냥 이건 영화라고 볼 가치가 없다...ㅋㅋ 신고"
"32","랑종별점 - 총 10점 중4마케팅이 잘 된 영화. 소재는 너무 좋은데.. 영화 중후반부 연출에서 다 말아 먹었다. 주인공 님과 밍의 연기는 좋습니다. 신고"
"33","랑종별점 - 총 10점 중8동남아 독특한 컬러가 추가돼있어 더 풍부해진 것 같아요. 귀신 한번도 안 나오는데 이렇게까지 무서울 줄은... 노출장면 굳이 왜 넣어야 되는지 모르겠네요. 그래도 추천!! 신고"
"34","랑종별점 - 총 10점 중9ㄹㅇ기괴하고 끔찍하고 무서움 갑툭도 있고 잔인한 장면이 꽤 나와서 보기 불편해서 빨리 집가고 싶었음밍 야발련 신고"
"35","랑종별점 - 총 10점 중10여성혐오영화라고 때쓰면서 점수일부로 낮게주는사람들있는데깜짝놀래키거나 귀신이 대놓고 나오는영화가 아님영화속 여러 복선들과 트리거들이 맞물려 이야기를 진행해나가는 방식의 스멀스멀 스며드는 기분나쁜느낌의 영화임빡통인애들 혹은 메퇘지같은애들 아닌이상은 재밌게 볼만한영화임 신고"
"36","랑종별점 - 총 10점 중9재미는 있는데 좀 지쳐요 좀 많이 아쉬워요 신고"
"37","랑종별점 - 총 10점 중1나홍진 곡성은 얻어걸린 작품인가?  기분 더러운 영화임 작품성으로 인한 더러움이 아니라 그냥 C급 저급한 영화 봤을 때의 돈날린 그 더러움임 ㅎ 여러분의 시간과 돈은 소중합니다 코로나까지 뚫고 볼 영화는 아니에요 후기가 말해주잖아요..ㅎ 이거 백타 금방 VOD 풀릴듯 정 궁금하면 그때 보세요 신고"
"38","랑종별점 - 총 10점 중2다큐형식이라 흔들리는 카메라 기법 어지럽고곡성 기대했는데 무섭지도 않고 보고나서 기분이 좋지 않았어요 ㅠ 신고"
