"","x"
"46","보스 베이비 2별점 - 총 10점 중10이야~~ 솔찍히 이건 아이들을 위한 애니가 아니고 부모를 위한 애니... ㅠㅠ나는 아이도 없고 결혼도 안했지만 이건 아이들을 위한게 아니고 부모들을 위한 애니다ㅠㅠ특히나 한국에서는 ㅠㅠ 아이 가지신 부모님들 이거 보고 힘내세요 ㅠ 진심 ㅠ 신고"
"47","보스 베이비 2별점 - 총 10점 중10너무 재밌게 잘 봤어요~ 1편에 이어 2편도 1편 못지 않게 재밌더라고요! 항상 1편을 볼 때 마다 테드가 티모시의 집에 온 뒤로 어떻게 됬을까, 2편은 언제나오나 궁금했었거든요>.< 티모시가 두 아이와 아빠가 되고 테드는 돈을 많이 벌어 부자가 됬는데도 성격은? 어떻게 변했을까요?! 재미있는 영화였고 1,2편에 이어서 3편도 꼭 나왔으면 좋겠어요^^ 꼭 한 번 보세요~1편 처럼 재밌어요♡ 저는 개인적으로 2편 보다는 1편이 더 재밌었던 것 같아요~ 아, 1편과 연결되어 나오는 영화여서 2편을 보기 전에는 1편을 먼저 보고 가시는 게 좋을 것 같아요^^ 신고"
"48","보스 베이비 2별점 - 총 10점 중6재미없어요. 지루하고 중간에 두어곳 잘린 듯 스토리전개 엉성합니다 신고"
"49","보스 베이비 2별점 - 총 10점 중101이 재미있어서 기대하고 봤는데 역시나 기대보다 더욱 재미있고 흥미로웠어요 힐링애니 !! 신고"
"50","보스 베이비 2별점 - 총 10점 중10진짜 너무 재밌고 웃긴장면도 중간중간에 있음 신고"
"51","보스 베이비 2별점 - 총 10점 중3(아주 미세한 약간의 스포 포함)일단 보스1은 뻔하다고 할 수 있다면 약간 뻔하다. 하지만 2의 경우는 전개가 친절하지 않으면 감동? 많이 애매하다. 1의 경우는 아기들의 마음을 잘 표현하고 가족에 대해서 중점이라면 이번에는 가족도 포함하지만 중심은 스토리에 중점이었기에 가족간의 그러한것은 1에 비해서 부족하다고 느꼈다. 심지어 왜인지 모르겠는 일본의 요소를 개연성 없이 들어가서 너무 불편했다. 일본어 쓰는 사람의 과거가 가족에 대해 풀이했을것이라고 예상을 했지만 그런것 없고 마지막 엔딩을 보고 도대체 이럴거면  왜 그런 행동을 했을지 전혀 예상이 안된다. 심지어 팀의 딸이 학교에서 일어나는것, 1편은 아기가 정체를 안들킬려고 했으나 2는 어째서 그러했는지 등등 이해가 안가는 부분이 많았으며 이걸보고 난 생각은 리뷰를 봐 스토리만 알고 1를 다시 보거나 소울을 보는것이 훨씬 좋다고 느낄정도이다. 실제로는 4점, 5점 짜리 영화이지만 1편의 안정적인 전개와 가족애를 보기위해 2를 찾아보는 사람들이 있을것이다(그것이 나 포함이다) 그러기에 3점이라고 본다. 3편이 나온다고 다시 보겠지만 개선이 없고 또 다시 일본어 지랑하면 절대 처다보지도 않을 것이며 제발 악당이 매력적인 1과 다르게 왜 그렇게 하는지 모를 악당인 2를 보면서 고치길 바란다. 보스베이비3만 해당이 아닌 감독의 다음 차기작에도 해당이 되는 이야기 이다. 신고"
"52","보스 베이비 2별점 - 총 10점 중5개인적으로 재미없고 지루했음. 타겟이 유아인것 같은데 애들이랑 같이 가족이서 보면 괜찮을 것 같음. 신고"
"53","보스 베이비 2별점 - 총 10점 중10귀여운 애기들과 애니메이션의 만남이란 정말 좋은걸요? 1보다 2가 더 잼네요!! 신고"
"54","보스 베이비 2별점 - 총 10점 중6영화의 소재와 캐릭터 비주얼은 좋았으나 스토리 전개와 개연성이 아쉽다 신고"
"55","보스 베이비 2별점 - 총 10점 중1친구랑 보러갓는데 싸우고나왓어요 신고"
