"","documents.authors","documents.contents","documents.datetime","documents.isbn","documents.price","documents.publisher","documents.sale_price","documents.status","documents.thumbnail","documents.title","documents.translators","documents.url","meta.is_end","meta.pageable_count","meta.total_count"
"1",c("Frank J Barrett", "Ronald E Fry"),『긍정탐구(AI) 조직변화』는 조직학습과 변화에 대한 간단하면서도 파격적인 철학을 제시한다. 즉, 인간 시스템의 협력역량에 생명력을 불어넣는 모든 것을 발견하고, 발산하라는 것이다.,2014-05-15T00:00:00.000+09:00,8990245575 9788990245571,10000,이프레스,9700,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1317696%3Ftimestamp%3D20190127193635,긍정탐구(AI) 조직변화(사례위주의 알기 쉬운 실무 AI 가이드 북),장영철,https://search.daum.net/search?w=bookpage&bookId=1317696&q=%EA%B8%8D%EC%A0%95%ED%83%90%EA%B5%AC%28AI%29+%EC%A1%B0%EC%A7%81%EB%B3%80%ED%99%94%28%EC%82%AC%EB%A1%80%EC%9C%84%EC%A3%BC%EC%9D%98+%EC%95%8C%EA%B8%B0+%EC%89%AC%EC%9A%B4+%EC%8B%A4%EB%AC%B4+AI+%EA%B0%80%EC%9D%B4%EB%93%9C+%EB%B6%81%29,FALSE,998,2101
"2",IPResearch센터,않아 분류가 명확히 이뤄지지 않는다. 국내의 경우 패턴인식, 자연어처리, 자동제어, 자동추론 등을 포함한 12가지 기술로 분류하고 있으며, 해외의 경우 주로 Expert system(전문가시스템), 음성인식(Speech recognition) 등으로 분류하고 있다. 이에따라『4차산업 핵심 기반 인공지능(AI) 기술 요소 및 AI 로봇 기술 동향과 정책 방향 전망』는 국내외 민간연구소와 대학 및 정부의 정책 자료를 토대로 분석 정리한 내용을 수록하고 있다,2016-05-26T00:00:00.000+09:00,1195546742 9791195546749,320000,산업정책Research,288000,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1656689%3Ftimestamp%3D20201007143618,4차산업 핵심 기반 인공지능(AI) 기술 요소 및 AI 로봇 기술 동향과 정책...,character(0),https://search.daum.net/search?w=bookpage&bookId=1656689&q=4%EC%B0%A8%EC%82%B0%EC%97%85+%ED%95%B5%EC%8B%AC+%EA%B8%B0%EB%B0%98+%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%28AI%29+%EA%B8%B0%EC%88%A0+%EC%9A%94%EC%86%8C+%EB%B0%8F+AI+%EB%A1%9C%EB%B4%87+%EA%B8%B0%EC%88%A0+%EB%8F%99%ED%96%A5%EA%B3%BC+%EC%A0%95%EC%B1%85+%EB%B0%A9%ED%96%A5+%EC%A0%84%EB%A7%9D,FALSE,998,2101
"3",Margaret A (Research Professor of Cognitive Science University of Sussex) Boden,,2016-07-01T00:00:00.000+09:00, 9780198777984,26380,,20840,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3835513%3Ftimestamp%3D20190227104520,AI,character(0),https://search.daum.net/search?w=bookpage&bookId=3835513&q=AI,FALSE,998,2101
"4",한희원,▶ 인공지능(AI) 법과 공존윤리에 관한 내용을 담은 전문서적입니다.,2018-08-30T00:00:00.000+09:00,1130332489 9791130332482,38000,박영사,36480,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3753880%3Ftimestamp%3D20210708145017,인공지능(AI) 법과 공존윤리(양장본 HardCover),character(0),https://search.daum.net/search?w=bookpage&bookId=3753880&q=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%28AI%29+%EB%B2%95%EA%B3%BC+%EA%B3%B5%EC%A1%B4%EC%9C%A4%EB%A6%AC%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29,FALSE,998,2101
"5",지식산업정보원 R&D정보센터,▶ 디지털 트랜스포메이션 기술 및 인공지능(AI) 관련 산업 실태분석에 관한 내용을 담은 전문서적입니다.,2018-11-22T00:00:00.000+09:00,1158620969 9791158620967,380000,지식산업정보원,342000,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4812076%3Ftimestamp%3D20210413155700,디지털 트랜스포메이션 기술 및 인공지능(AI) 관련 산업 실태분석,character(0),https://search.daum.net/search?w=bookpage&bookId=4812076&q=%EB%94%94%EC%A7%80%ED%84%B8+%ED%8A%B8%EB%9E%9C%EC%8A%A4%ED%8F%AC%EB%A9%94%EC%9D%B4%EC%85%98+%EA%B8%B0%EC%88%A0+%EB%B0%8F+%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%28AI%29+%EA%B4%80%EB%A0%A8+%EC%82%B0%EC%97%85+%EC%8B%A4%ED%83%9C%EB%B6%84%EC%84%9D,FALSE,998,2101
"6",이슈퀘스트 편집부,『인공지능(AI), 로봇, 드론 기술, 시장 실태와 전망』은 인공지능기술과 지능형 서비스로봇, 드론 산업을 중심으로 기술과 시장전망, 주요 이슈 등을 정리 분석하고, 관련된 핵심 유망 사업 분야를 조명하였으며, 주요 리딩 국가를 중심으로 산업 육성 지원정책 등을 조사하여, 마케팅전략 수립에 도움을 준다.,2016-09-28T00:00:00.000+09:00,8998366347 9788998366346,350000,이슈퀘스트,315000,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1500366%3Ftimestamp%3D20190130104423,인공지능(AI), 로봇, 드론 기술, 시장 실태와 전망(ICT 유망시장분석 3),character(0),https://search.daum.net/search?w=bookpage&bookId=1500366&q=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%28AI%29%2C+%EB%A1%9C%EB%B4%87%2C+%EB%93%9C%EB%A1%A0+%EA%B8%B0%EC%88%A0%2C+%EC%8B%9C%EC%9E%A5+%EC%8B%A4%ED%83%9C%EC%99%80+%EC%A0%84%EB%A7%9D%28ICT+%EC%9C%A0%EB%A7%9D%EC%8B%9C%EC%9E%A5%EB%B6%84%EC%84%9D+3%29,FALSE,998,2101
"7",씨에치오 얼라이언스 편집부,본서는 인공지능 기술과 시장의 개념에서부터 핵심 기술(머신 러닝, 딥 러닝 등)과 주요 이슈 등을 정리ㆍ분석하고, 향후 인공지능이 적용될 수 있는 유망 사업 분야를 조명하였으며, 이를 국내외 핵심 참여업체의 사업 동향 및 개발전략을 통하여 살펴보고 있다.,2016-03-29T00:00:00.000+09:00,118693400X 9791186934005,350000,씨에치오 얼라이언스(CHO Alliance),315000,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1641035%3Ftimestamp%3D20201212151908,글로벌 인공지능(AI) 기술개발, 수요시장 동향과 유력기업 사업 추진전략,character(0),https://search.daum.net/search?w=bookpage&bookId=1641035&q=%EA%B8%80%EB%A1%9C%EB%B2%8C+%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%28AI%29+%EA%B8%B0%EC%88%A0%EA%B0%9C%EB%B0%9C%2C+%EC%88%98%EC%9A%94%EC%8B%9C%EC%9E%A5+%EB%8F%99%ED%96%A5%EA%B3%BC+%EC%9C%A0%EB%A0%A5%EA%B8%B0%EC%97%85+%EC%82%AC%EC%97%85+%EC%B6%94%EC%A7%84%EC%A0%84%EB%9E%B5,FALSE,998,2101
"8",데이코산업연구소,▶ 이 책은 서비스산업의 혁신을 주도하는 인공지능(AI) 기술동향 및 시장 전망에 대해 다룬 도서입니다. 서비스산업의 혁신을 주도하는 인공지능(AI) 기술동향 및 시장 전망의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.,2017-09-08T00:00:00.000+09:00,1196108722 9791196108724,380000,데이코산업연구소,342000,정상판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1667483%3Ftimestamp%3D20200314133745,서비스산업의 혁신을 주도하는 인공지능(AI) 기술동향 및 시장 전망,character(0),https://search.daum.net/search?w=bookpage&bookId=1667483&q=%EC%84%9C%EB%B9%84%EC%8A%A4%EC%82%B0%EC%97%85%EC%9D%98+%ED%98%81%EC%8B%A0%EC%9D%84+%EC%A3%BC%EB%8F%84%ED%95%98%EB%8A%94+%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%28AI%29+%EA%B8%B0%EC%88%A0%EB%8F%99%ED%96%A5+%EB%B0%8F+%EC%8B%9C%EC%9E%A5+%EC%A0%84%EB%A7%9D,FALSE,998,2101
"9",이슈퀘스트 편집부,▶ 이 책은 인공지능(AI), 로봇, 3D프린터 기술 시장 실태와 전망을 다룬 도서입니다.,2017-08-30T00:00:00.000+09:00,899836638X 9788998366384,380000,이슈퀘스트,342000,주문판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1496903%3Ftimestamp%3D20201118142119,인공지능(AI), 로봇, 3D프린터 기술 시장 실태와 전망(2017년 ICT 유망시장...,character(0),https://search.daum.net/search?w=bookpage&bookId=1496903&q=%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%28AI%29%2C+%EB%A1%9C%EB%B4%87%2C+3D%ED%94%84%EB%A6%B0%ED%84%B0+%EA%B8%B0%EC%88%A0+%EC%8B%9C%EC%9E%A5+%EC%8B%A4%ED%83%9C%EC%99%80+%EC%A0%84%EB%A7%9D%282017%EB%85%84+ICT+%EC%9C%A0%EB%A7%9D%EC%8B%9C%EC%9E%A5%2C+%EA%B8%B0%EC%88%A0+%ED%8A%B8%EB%9E%9C%EB%93%9C+%EB%B6%84%EC%84%9D+1%29,FALSE,998,2101
"10",편집부,『AI(인공지능)과 IOT(사물인터넷)이 선도하는 킬러 서비스 홈 IOT(스마트 홈) 비즈니스 실태와 사업전략』은 가장 주목받는 IoT 응용분야중 하나인 IoT홈(스마트 홈) 분야에 대해 집중적으로 다룬 책이다. 스마트 홈은 가정 내에서의 다양한 디바이스가 IoT와의 결합을 통해 편의와 안전을 제고하고, 건강관리, 에너지 효율 관리 등 새로운 부가가치를 제공 할 수 있도록 서비스한다. 국내외 핵심 참여업체의 사업 추진 동향 및 사업전략 등을 통하여, 국내,2016-06-15T00:00:00.000+09:00,1186934026 9791186934029,350000,씨에치오 얼라이언스(CHO Alliance),315000,주문판매,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1641153%3Ftimestamp%3D20210314145133,AI(인공지능)과 IOT(사물인터넷)이 선도하는 킬러 서비스 홈 IOT(스마트 홈...,character(0),https://search.daum.net/search?w=bookpage&bookId=1641153&q=AI%28%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%29%EA%B3%BC+IOT%28%EC%82%AC%EB%AC%BC%EC%9D%B8%ED%84%B0%EB%84%B7%29%EC%9D%B4+%EC%84%A0%EB%8F%84%ED%95%98%EB%8A%94+%ED%82%AC%EB%9F%AC+%EC%84%9C%EB%B9%84%EC%8A%A4+%ED%99%88+IOT%28%EC%8A%A4%EB%A7%88%ED%8A%B8+%ED%99%88%29+%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4+%EC%8B%A4%ED%83%9C%EC%99%80+%EC%82%AC%EC%97%85%EC%A0%84%EB%9E%B5%28201,FALSE,998,2101
